機關名稱,OID,電話,地址,DN,,,,,,,,,
臺灣菸酒股份有限公司嘉義營業處,2.16.886.101.20003.20004.20026.20007,05-2225891,嘉義市垂楊路427號,ou=嘉義營業處,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司臺南營業處,2.16.886.101.20003.20004.20026.20008,06-2089175,台南市青年路278號,ou=臺南營業處,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司高雄營業處,2.16.886.101.20003.20004.20026.20009,07-3336252,高雄市文橫二路113號,ou=高雄營業處,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司花蓮營業處,2.16.886.101.20003.20004.20026.20011,03-8323141,花蓮市仁愛街75號,ou=花蓮營業處,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司臺北菸廠,2.16.886.101.20003.20004.20026.20014,02-22123100,新北市新店區安康路2段235號,ou=臺北菸廠,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司內埔菸廠,2.16.886.101.20003.20004.20026.20016,08-7782001,屏東縣內埔鄉豐田村建國路36號,ou=內埔菸廠,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司林口酒廠,2.16.886.101.20003.20004.20026.20019,03-3283001,桃園縣龜山鄉文化一路55號,ou=林口酒廠,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司宜蘭酒廠,2.16.886.101.20003.20004.20026.20020,03-9355526,宜蘭市舊城西路3號,ou=宜蘭酒廠,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司臺中酒廠,2.16.886.101.20003.20004.20026.20021,04-23501318,台中市西屯區工業二十八路2號,ou=臺中酒廠,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司烏日啤酒廠,2.16.886.101.20003.20004.20026.20022,04-23381216,台中縣烏日鄉光華街1號,ou=烏日啤酒廠,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司南投酒廠,2.16.886.101.20003.20004.20026.20023,049-2234171,南投市軍功里東山路82號,ou=南投酒廠,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司埔里酒廠,2.16.886.101.20003.20004.20026.20024,049-2984006,南投縣埔里鎮中山路3段219號,ou=埔里酒廠,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司嘉義酒廠,2.16.886.101.20003.20004.20026.20025,05-2215721,嘉義縣民雄鄉福樂村中山路4號,ou=嘉義酒廠,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司隆田酒廠,2.16.886.101.20003.20004.20026.20026,06-5791311,台南縣官田鄉隆本村中華路1段335號,ou=隆田酒廠,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司善化啤酒廠,2.16.886.101.20003.20004.20026.20027,06-5838511,台南縣善化鎮成功路2號,ou=善化啤酒廠,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司屏東酒廠,2.16.886.101.20003.20004.20026.20028,08-7781640,屏東縣內埔鄉豐田村建國路34號,ou=屏東酒廠,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司花蓮酒廠,2.16.886.101.20003.20004.20026.20029,03-8227151,花蓮市美工路6號,ou=花蓮酒廠,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司竹南啤酒廠,2.16.886.101.20003.20004.20026.20030,037-583001,苗栗縣竹南鎮竹南工業區和興路345號,ou=竹南啤酒廠,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司酒研究所,2.16.886.101.20003.20004.20026.20032,02-29301792-410,台北市羅斯福路6段142巷13號,ou=酒研究所,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
財政部印刷廠,2.16.886.101.20003.20004.20027,,台中縣大里市中興路1段288號,ou=印刷廠,ou=財政部,o=行政院,c=TW,,,,,,
教育部,2.16.886.101.20003.20005,02-77366666,台北市中山南路5號,ou=教育部,o=行政院,c=TW,,,,,,,
國立臺灣科學教育館,2.16.886.101.20003.20005.20004,02-66101234,臺北市士商路189號,ou=國立臺灣科學教育館,ou=教育部,o=行政院,c=TW,,,,,,
國立臺灣藝術教育館,2.16.886.101.20003.20005.20006,02-23110574,台北市南海路47號,ou=國立臺灣藝術教育館,ou=教育部,o=行政院,c=TW,,,,,,
國立自然科學博物館,2.16.886.101.20003.20005.20010,04-23226940,台中市北區館前路1號,ou=國立自然科學博物館,ou=教育部,o=行政院,c=TW,,,,,,
國家圖書館,2.16.886.101.20003.20005.20014,02-23619132,台北市中山南路20號,ou=國家圖書館,ou=教育部,o=行政院,c=TW,,,,,,
國立科學工藝博物館,2.16.886.101.20003.20005.20015,07-3800089,高雄市三民區九如一路720號,ou=國立科學工藝博物館,ou=教育部,o=行政院,c=TW,,,,,,
國立教育廣播電臺,2.16.886.101.20003.20005.20016,02-23880600,台北市南海路41號,ou=國立教育廣播電臺,ou=教育部,o=行政院,c=TW,,,,,,
國立教育廣播電臺彰化分臺,2.16.886.101.20003.20005.20016.20001,04-7263070,彰化市虎岡路5-1號,ou=彰化分臺,ou=國立教育廣播電臺,ou=教育部,o=行政院,c=TW,,,,,
國立教育廣播電臺高雄分臺,2.16.886.101.20003.20005.20016.20002,07-7150800,高雄市前鎮區廣東三街380號,ou=高雄分臺,ou=國立教育廣播電臺,ou=教育部,o=行政院,c=TW,,,,,
國立教育廣播電臺花蓮分臺,2.16.886.101.20003.20005.20016.20003,03-8225625,花蓮市東興路457號,ou=花蓮分臺,ou=國立教育廣播電臺,ou=教育部,o=行政院,c=TW,,,,,
國立教育廣播電臺臺東分臺,2.16.886.101.20003.20005.20016.20004,089-324110,臺東市馬亨亨大道135號,ou=臺東分臺,ou=國立教育廣播電臺,ou=教育部,o=行政院,c=TW,,,,,
國立海洋生物博物館,2.16.886.101.20003.20005.20024,08-8825001,屏東縣車城鄉後灣村後灣路2號,ou=國立海洋生物博物館,ou=教育部,o=行政院,c=TW,,,,,,
法務部,2.16.886.101.20003.20006,02-21910189,台北市重慶南路1段130號,ou=法務部,o=行政院,c=TW,,,,,,,
法務部調查局,2.16.886.101.20003.20006.20001,02-29112241,新北市新店區中華路74號,ou=調查局,ou=法務部,o=行政院,c=TW,,,,,,
法務部調查局幹部訓練所,2.16.886.101.20003.20006.20001.20001,02-22173412,新北市新店區北宜路2段295號,ou=幹部訓練所,ou=調查局,ou=法務部,o=行政院,c=TW,,,,,
法務部調查局福建省調查處,2.16.886.101.20003.20006.20001.20003,082-325211,金門縣金城鎮西海路1段65號,ou=福建省調查處,ou=調查局,ou=法務部,o=行政院,c=TW,,,,,
法務部調查局臺灣省調查處,2.16.886.101.20003.20006.20001.20004,02-29112241,新北市新店區中華路74號,ou=臺灣省調查處,ou=調查局,ou=法務部,o=行政院,c=TW,,,,,
法務部調查局臺北市調查處,2.16.886.101.20003.20006.20001.20005,02-27368721,臺北市大安區基隆路2段176號,ou=臺北市調查處,ou=調查局,ou=法務部,o=行政院,c=TW,,,,,
法務部調查局高雄市調查處,2.16.886.101.20003.20006.20001.20006,07-2711131,高雄市前金區成功一路428號,ou=高雄市調查處,ou=調查局,ou=法務部,o=行政院,c=TW,,,,,
最高法院檢察署,2.16.886.101.20003.20006.20003,02-23167000,臺北市中正區貴陽街1段235號,ou=最高法院檢察署,ou=法務部,o=行政院,c=TW,,,,,,
法務部法醫研究所,2.16.886.101.20003.20006.20032,02-27392369,新北市中和區民安街123號,ou=法醫研究所,ou=法務部,o=行政院,c=TW,,,,,,
福建高等法院金門分院檢察署,2.16.886.101.20003.20006.20088,082-324581,金門縣金城鎮民權路178號,ou=福建高等法院金門分院檢察署,ou=法務部,o=行政院,c=TW,,,,,,
福建金門地方法院檢察署,2.16.886.101.20003.20006.20089,082-325090,金門縣金城鎮民權路178號,ou=福建金門地方法院檢察署,ou=法務部,o=行政院,c=TW,,,,,,
法務部行政執行署,2.16.886.101.20003.20006.20090,02-26336650,臺北市內湖區康寧路三段51號7樓 ,ou=行政執行署,ou=法務部,o=行政院,c=TW,,,,,,
經濟部,2.16.886.101.20003.20007,02-23212200,台北市福州街15號,ou=經濟部,o=行政院,c=TW,,,,,,,
經濟部國際貿易局,2.16.886.101.20003.20007.20001,02-23510271,台北市湖口街1號,ou=國際貿易局,ou=經濟部,o=行政院,c=TW,,,,,,
經濟部國際貿易局高雄辦事處,2.16.886.101.20003.20007.20001.20001,07-2711171,高雄市前金區中正四路103號2樓,ou=高雄辦事處,ou=國際貿易局,ou=經濟部,o=行政院,c=TW,,,,,
經濟部工業局,2.16.886.101.20003.20007.20002,02-27541255,台北市大安區信義路3段41之3號,ou=工業局,ou=經濟部,o=行政院,c=TW,,,,,,
經濟部中小企業處,2.16.886.101.20003.20007.20003,02-23680816,台北市羅斯福路2段95號3樓,ou=中小企業處,ou=經濟部,o=行政院,c=TW,,,,,,
經濟部中央地質調查所,2.16.886.101.20003.20007.20004,02-29462793,新北市中和區華新街109巷2號,ou=中央地質調查所,ou=經濟部,o=行政院,c=TW,,,,,,
經濟部加工出口區管理處,2.16.886.101.20003.20007.20005,07-3611212,高雄市楠梓區加昌路600號,ou=加工出口區管理處,ou=經濟部,o=行政院,c=TW,,,,,,
經濟部加工出口區管理處臺中分處,2.16.886.101.20003.20007.20005.20001,04-25322113,臺中市潭子區建國路1號,ou=臺中分處,ou=加工出口區管理處,ou=經濟部,o=行政院,c=TW,,,,,
經濟部加工出口區管理處高雄分處,2.16.886.101.20003.20007.20005.20002,07-8239377,高雄市前鎮區加工出口區中一路2號,ou=高雄分處,ou=加工出口區管理處,ou=經濟部,o=行政院,c=TW,,,,,
經濟部加工出口區管理處中港分處,2.16.886.101.20003.20007.20005.20003,04-26581215,臺中市梧棲區大觀路6號,ou=中港分處,ou=加工出口區管理處,ou=經濟部,o=行政院,c=TW,,,,,
經濟部加工出口區管理處屏東分處,2.16.886.101.20003.20007.20005.20004,08-7518212,屏東市前進里屏加路1號,ou=屏東分處,ou=加工出口區管理處,ou=經濟部,o=行政院,c=TW,,,,,
經濟部投資審議委員會,2.16.886.101.20003.20007.20006,02-33435700-740,台北市羅斯福路1段7號8樓,ou=投資審議委員會,ou=經濟部,o=行政院,c=TW,,,,,,
經濟部國營事業委員會,2.16.886.101.20003.20007.20007,02-23713161,台北市寶慶路25號,ou=國營事業委員會,ou=經濟部,o=行政院,c=TW,,,,,,
國營事業委員會人力發展訓練班,2.16.886.101.20003.20007.20007.20001,,,ou=人力發展訓練班,ou=國營事業委員會,ou=經濟部,o=行政院,c=TW,,,,,
經濟部貿易調查委員會,2.16.886.101.20003.20007.20009,02-25066670,台北市中山區松江路317號8樓,ou=貿易調查委員會,ou=經濟部,o=行政院,c=TW,,,,,,
經濟部標準檢驗局,2.16.886.101.20003.20007.20010,02-23431700~2,台北市濟南路1段4號,ou=標準檢驗局,ou=經濟部,o=行政院,c=TW,,,,,,
經濟部標準檢驗局基隆分局,2.16.886.101.20003.20007.20010.20001,02-24231151,基隆市仁愛區港西街8號,ou=基隆分局,ou=標準檢驗局,ou=經濟部,o=行政院,c=TW,,,,,
經濟部標準檢驗局新竹分局,2.16.886.101.20003.20007.20010.20002,03-5427011,新竹市民族路109巷14號,ou=新竹分局,ou=標準檢驗局,ou=經濟部,o=行政院,c=TW,,,,,
經濟部標準檢驗局臺中分局,2.16.886.101.20003.20007.20010.20003,04-22612161,台中市南區工學路70號,ou=臺中分局,ou=標準檢驗局,ou=經濟部,o=行政院,c=TW,,,,,
經濟部標準檢驗局臺南分局,2.16.886.101.20003.20007.20010.20004,06-2264101,台南市中區北門路1段179號,ou=臺南分局,ou=標準檢驗局,ou=經濟部,o=行政院,c=TW,,,,,
